EstudianteID;Programa_Academico_ID;Edad_Ingreso;Genero_ID;Tipo_Asistencia;Estado_Financiero;Estado_Final;Tasa_Exito_1er_Semestre;Nota_Promedio_2do_Semestre;Factor_Riesgo_Academico
1;14;17;1;1;Al Dia;Graduado;1;13;Bajo Riesgo Académico
2;12;17;0;1;Al Dia;Activo;0.625;12;Bajo Riesgo Académico
3;5;17;0;1;Al Dia;Graduado;1;12;Bajo Riesgo Académico
4;12;17;0;1;Al Dia;Graduado;1;13;Bajo Riesgo Académico
5;12;18;0;1;Al Dia;Activo;0.71428571;12;Bajo Riesgo Académico
6;15;18;0;1;Al Dia;Graduado;1;13;Bajo Riesgo Académico
7;12;18;0;1;Al Dia;Activo;0.875;13;Bajo Riesgo Académico
8;6;18;0;1;Al Dia;Desercion;1;14;Bajo Riesgo Académico
9;9;18;0;1;Al Dia;Graduado;0.8;11;Bajo Riesgo Académico
10;12;18;0;1;Al Dia;Graduado;0.85714285;14;Bajo Riesgo Académico
11;6;18;0;1;Al Dia;Graduado;0.8;13;Bajo Riesgo Académico
12;11;18;0;1;Al Dia;Graduado;1;10;Bajo Riesgo Académico
13;14;18;1;1;Al Dia;Desercion;1;13;Bajo Riesgo Académico
14;14;18;1;1;Al Dia;Desercion;0.66666666;13;Bajo Riesgo Académico
15;15;18;1;1;Deudor;Desercion;0;0;Alto Riesgo Académico
16;15;18;1;1;Al Dia;Graduado;1;12;Bajo Riesgo Académico
17;15;18;1;1;Al Dia;Desercion;1;0;Bajo Riesgo Académico
18;9;18;1;1;Al Dia;Graduado;1;13;Bajo Riesgo Académico
19;5;18;1;1;Al Dia;Graduado;0.83333333;10;Bajo Riesgo Académico
20;11;18;1;1;Deudor;Desercion;0.83333333;10;Bajo Riesgo Académico
21;5;18;1;1;Al Dia;Graduado;1;15;Bajo Riesgo Académico
22;15;18;0;1;Al Dia;Graduado;0.66666666;12;Bajo Riesgo Académico
23;12;18;0;1;Al Dia;Graduado;1;13;Bajo Riesgo Académico
24;12;18;0;1;Al Dia;Graduado;1;13;Bajo Riesgo Académico
25;10;18;0;1;Al Dia;Graduado;1;12;Bajo Riesgo Académico
26;6;18;0;1;Al Dia;Graduado;1;12;Bajo Riesgo Académico
27;15;18;0;1;Al Dia;Graduado;1;13;Bajo Riesgo Académico
